greater_rio_grande_title;Greater Rio Grande;;;;;;;;;;;;;x
greater_rio_grande_desc;With our independence from the Centralist government secured, we must strive to expand our reach to the other areas in northern Mexico clamoring for the return of Federalism. We will take them by force if necessary.;;;;;;;;;;;;;x
MEX_2142;Chihuahua;;;;;;;;;;;;;x
MEX_2150;Tamaulipas;;;;;;;;;;;;;x
MEX_2151;Coahuila;;;;;;;;;;;;;x
MEX_2153;Durango;;;;;;;;;;;;;x
khoisan;Bushmen;;;;;;;;;;;;;x
boer;Afrikaner;;;;;;;;;;;;;x
sotho;Basotho;;;;;;;;;;;;;x
EVTNAME37299;The Colony of Libreville;;;;;;;;;;;;;x
EVTDESC37299;Ever since the abolishment of slavery the African population of our country would flock back to the African continent is search of better life and/or freedom. One of the examples of this process is the free colony of Libreville set on the shores of Africa. We might want to take advantage of this and establish a colonial rule there as a long-term investment, or leave the people to their deserved freedom.;;;;;;;;;;;;;x
EVTNAME1000100;Should We Ask USA For Help?;;;;;;;;;;;;;x
EVTDESC1000100;The perspective of our war against Mexico doesn't look too bright. They outnumber us and our independence is only a matter of time. Maybe we could ask our neighbour for help against the Mexicans?;;;;;;;;;;;;;x
EVTNAME1000101;Texas Calls For Help;;;;;;;;;;;;;x
EVTDESC1000101;A diplomat from Texas has reached us with worrying news. Their rights are being violently taken from them and they have turned to us looking for help. Should we lend our helping hand to our fellow Americans?;;;;;;;;;;;;;x
EVTNAME1000200;The New Protector of Eastern Christians;;;;;;;;;;;;;x
EVTDESC1000200;Now that we are powerful enough to hold our own, an important matter rose up regarding our role in the Eastern Christendom. It is a well known fact that the Byzantine Empire for a long time was the center of the Orthodox Church and the Eastern Christendom as a whole. Sadly, we've lost our authority and power due to numerous wars and raids and our title as the protector was taken by an another powerful Orthodox nation known as the Russian Empire. We are glad that they've been doing our work for centuries now, but it's time that we take this title back since it's supposed to be us that should protect the Eastern Christians.;;;;;;;;;;;;x;
EVTNAME1000201;The Orthodox Question;;;;;;;;;;;;;x
EVTDESC1000201;We've been notified that the newly restored Byzantine Empire seeks to recaim its title as the Orthodox Protector. We've taken their duty to continue protecting the Eastern Christendom as a powerful nation within it. Should we stand down and give the title back to its original owner, or should we hold onto it?;;;;;;;;;;;;x;
EVTNAME1000202;The Russian Empire refused!;;;;;;;;;;;;;x
EVTDESC1000202;The fools of The Russian Empire refuted our rightfull claim on the title of the Orthodox Protector. The title is ours by definition and they will pay for denying us our claim.;;;;;;;;;;;;x;
EVTNAME1000203;The Russian Empire accepted!;;;;;;;;;;;;;x
EVTDESC1000203;As we expected, the Russians complied and offered back the title of Eastern Protectors. This is a joyous day for the mighty Empire!;;;;;;;;;;;;x;
EVTNAME1000204;The War is Won!;;;;;;;;;;;;;x
